序号,学科门类,项目名称,项目名称分词,项目类别,申请人,学校名称,省份,地区,学校标签
2214,交叉学科/综合研究,农业文化遗产活化利用对农业食物系统转型的影响机制和优化路径,农业 文化 遗产 活化 利用 农业 食物 系统 转型 影响 机制 优化 路径,青年基金项目,叶行,福建农林大学,福建,东部,普通院校
2215,交叉学科/综合研究,退役风电回收处理产业的时空演化机制及多元调控路径研究,退役 风电 回收 处理 产业 时空 演化 机制 多元 调控 路径 研究,青年基金项目,马诗萍,福建农林大学,福建,东部,普通院校
2216,交叉学科/综合研究,北宋以来闽作家具史料整理、研究及数据库建设,北宋 以来 作家 史料 整理 研究 数据库 建设,青年基金项目,林华秋,福州工商学院,福建,东部,普通院校
2217,交叉学科/综合研究,闽江流域乡村聚落灾害风险机理与韧性协同治理研究,闽江 流域 乡村 聚落 灾害 风险 机理 韧性 协同 治理 研究,青年基金项目,李尚辉,福州外语外贸学院,福建,东部,普通院校
2218,交叉学科/综合研究,数字人文视角下福建侨厝遗产的数据库建设与传播应用研究,数字 人文 视角 福建 侨厝 遗产 数据库 建设 传播 应用 研究,青年基金项目,李云琦,福州外语外贸学院,福建,东部,普通院校
2219,交叉学科/综合研究,AIGC背景下消费金融风险的传导机制、智能预警与防范策略研究,AIGC 背景 消费 金融 风险 传导 机制 智能 预警 防范 策略 研究,规划基金项目,陈晓杰,福州外语外贸学院,福建,东部,普通院校
2220,交叉学科/综合研究,国际传播视域下中国神话故事短视频的视觉框架效果机制与优化策略研究,国际 传播 视域 中国 神话 故事 视频 视觉 框架 效果 机制 优化 策略 研究,青年基金项目,郑晨予,复旦大学,上海,东部,双一流
2221,交叉学科/综合研究,教育强国建设背景下智能制造人才供需耦合机理与动态适配路径研究,教育 强国 建设 背景 智能 制造 人才 供需 耦合 机理 动态 适配 路径 研究,规划基金项目,张永棠,广东白云学院,广东,东部,普通院校
2222,交叉学科/综合研究,多源异构数据下基于图神经网络的供应链韧性度量与路径优化研究,多源 异构 数据 基于 图神经 网络 供应链 韧性 度量 路径 优化 研究,规划基金项目,周雅兰,广东财经大学,广东,东部,普通院校
2223,交叉学科/综合研究,粤港澳大湾区植被碳储量与能源碳排放的动态权衡及碳分区治理路径研究,港澳 大湾区 植被 储量 能源 排放 动态 权衡 碳分区 治理 路径 研究,规划基金项目,吴艳艳,广东财经大学,广东,东部,普通院校
2224,交叉学科/综合研究,多源数据下基于深度集成聚类的科技企业创新绩效度量与路径优化研究,多源 数据 基于 深度 集成 聚类 科技 企业 创新 绩效 度量 路径 优化 研究,青年基金项目,宋泽明,广东财经大学,广东,东部,普通院校
2225,交叉学科/综合研究,AI赋能高技术制造业产业链韧性测度与强链优化路径研究,I赋 技术 制造业 产业 链韧性 测度 强链 优化 路径 研究,青年基金项目,王心月,广东财经大学,广东,东部,普通院校
2226,交叉学科/综合研究,基于多模态对比学习的社交短视频意识形态智能风险识别与安全防范研究,基于 模态 对比 学习 社交短 视频 意识 形态 智能 风险 识别 安全 防范 研究,青年基金项目,黄沛,广东财经大学,广东,东部,普通院校
2227,交叉学科/综合研究,多模态数据下深度集成学习的新能源汽车供应链韧性评估研究,模态 数据 深度 集成 学习 能源 汽车 供应 链韧性 评估 研究,规划基金项目,胡苏,广东财经大学,广东,东部,普通院校
2228,交叉学科/综合研究,中国旅游形象国际传播的策略研究,中国 旅游 形象 国际 传播 策略 研究,青年基金项目,王晓宇,广东第二师范学院,广东,东部,普通院校
2229,交叉学科/综合研究,生成式AI赋能粤港澳大湾区青少年体育教育资源动态协同研究,生成式 I赋 港澳 大湾区 青少年 体育 教育 资源 动态 协同 研究,青年基金项目,陈宇,广东第二师范学院,广东,东部,普通院校
2230,交叉学科/综合研究,技术脱钩背景下中国高科技跨国企业供应链关系重构的过程机理研究,技术 脱钩 背景 中国 高科技 跨国 企业 供应链 关系 重构 过程 机理 研究,青年基金项目,马美婷,广东工业大学,广东,东部,普通院校
2231,交叉学科/综合研究,面向高温户外作业需求的智能服装设计与评价研究,面向 高温 户外 作业 需求 智能 服装 设计 评价 研究,规划基金项目,宋文芳,广东工业大学,广东,东部,普通院校
2232,交叉学科/综合研究,创意设计赋能地理标志农产品IP的文旅融合开发机制研究,创意 设计 赋能 地理 标志 农产品 IP 文旅 融合 开发 机制 研究,自筹经费项目,彭凯,广东工业大学,广东,东部,普通院校
2233,交叉学科/综合研究,公交衰退与数字鸿沟双重挤压下老年人交通出行权保障及补偿路径研究,公交 衰退 数字 鸿沟 双重 挤压 老年人 交通 出行权 保障 补偿 路径 研究,青年基金项目,胡三根,广东工业大学,广东,东部,普通院校
2234,交叉学科/综合研究,基于跨学科融合的人机交互网络舆论传播机制与控制策略探究,基于 跨学科 融合 人机 交互 网络 舆论 传播 机制 控制 策略 探究,青年基金项目,张洪杨,广东技术师范大学,广东,东部,普通院校
2235,交叉学科/综合研究,数字治理赋能乡村空间微更新机理和路径研究,数字 治理 赋能 乡村 空间微 更新 机理 路径 研究,青年基金项目,姚德惠,广东技术师范大学,广东,东部,普通院校
2236,交叉学科/综合研究,数字金融背景下协同智能聚类的金融风险识别与防范研究,数字 金融 背景 协同 智能 聚类 金融 风险 识别 防范 研究,规划基金项目,周瑞红,广东金融学院,广东,东部,普通院校
2237,交叉学科/综合研究,中亚国家跨境数据安全流通法律规制问题研究,中亚 国家 跨境 数据 安全 流通 法律 规制 问题 研究,规划基金项目,吐火加,广东金融学院,广东,东部,普通院校
2238,交叉学科/综合研究,数智技术嵌入下游客环境责任行为的多维驱动路径与动态干预策略研究,数智 技术 嵌入 游客 环境 责任 行为 多维 驱动 路径 动态 干预 策略 研究,规划基金项目,陈阁芝,广东金融学院,广东,东部,普通院校
2239,交叉学科/综合研究,基于多源数据融合与深度学习的高校图书馆智能推广研究,基于 多源 数据 融合 深度 学习 高校 图书馆 智能 推广 研究,青年基金项目,蔡春柳,广东外语外贸大学,广东,东部,普通院校
2240,交叉学科/综合研究,西方纪录片对“中国制造”的叙事霸权建构研究,西方 纪录片 中国 制造 叙事 霸权 建构 研究,规划基金项目,杨静,广东外语外贸大学,广东,东部,普通院校
2241,交叉学科/综合研究,以澜湄合作推动落实“三大全球倡议”的理论逻辑与实践路径研究,澜湄 合作 推动 落实 三大 全球 倡议 理论 逻辑 实践 路径 研究,青年基金项目,周惠雯,广东外语外贸大学,广东,东部,普通院校
2242,交叉学科/综合研究,以老年人心理健康为导向的数字环境适老性评价及优化策略研究,老年人 心理 健康 导向 数字 环境 适老性 评价 优化 策略 研究,青年基金项目,张琳,广东外语外贸大学,广东,东部,普通院校
2243,交叉学科/综合研究,基于深度学习的跨语言情感迁移与翻译一致性研究,基于 深度 学习 跨语言 情感 迁移 翻译 一致性 研究,规划基金项目,任亚峰,广东外语外贸大学,广东,东部,普通院校
2244,交叉学科/综合研究,绿色消费驱动西南民族地区乡村产业振兴的机制、困境与路径优化研究,绿色 消费 驱动 西南 民族 地区 乡村 产业 振兴 机制 困境 路径 优化 研究,青年基金项目,刘沐霖,广西科技大学,广西,西部,普通院校
2245,交叉学科/综合研究,高校科技成果转化驱动乡村特色产业升级的障碍诊断与机制重构研究,高校 科技 成果 转化 驱动 乡村 特色 产业 升级 障碍 诊断 机制 重构 研究,青年基金项目,刘文,广西师范大学,广西,西部,普通院校
2246,交叉学科/综合研究,西南多民族儿童绘本中的中华民族共同体意识建构研究（1949-2025）,西南 民族 儿童 绘本 中华 民族 共同体 意识 建构 研究 1949 2025,青年基金项目,梁媛,广西师范大学,广西,西部,普通院校
2247,交叉学科/综合研究,青少年父母心理健康素养的双维模型建构及评估工具开发与应用研究,青少年 父母 心理 健康 素养 双维 模型 建构 评估 工具 开发 应用 研究,规划基金项目,梁红霞,广西职业师范学院,广西,西部,普通院校
2248,交叉学科/综合研究,宋刻本字体活化与出海创新路径研究,宋刻 字体 活化 出海 创新 路径 研究,规划基金项目,李佛君,广州城建职业学院,广东,东部,普通院校
2249,交叉学科/综合研究,区块链共识协议中抗偏倚性随机数生成机制的多层级安全联动研究,区块链 共识 协议 中抗 偏倚性 随机 数生 机制 层级 安全 联动 研究,青年基金项目,柯丽珊,广州大学,广东,东部,普通院校
2250,交叉学科/综合研究,基于变分法和弱监督学习的心脏MR图像分割方法研究,基于 变分法 弱监督 学习 心脏 MR图 分割 方法 研究,青年基金项目,舒秀,广州大学,广东,东部,普通院校
2251,交叉学科/综合研究,人工智能驱动下城市社会空间生产机制与适应性治理范式研究,人工 智能 驱动 城市 社会 空间 生产 机制 适应性 治理 范式 研究,青年基金项目,胡锦灿,广州大学,广东,东部,普通院校
2252,交叉学科/综合研究,能源转型中电力系统安全协同防护机制与隐私一性能多目标优化研究,能源 转型 电力 系统 安全 协同 防护 机制 隐私 性能 目标 优化 研究,青年基金项目,刘云,广州大学,广东,东部,普通院校
2253,交叉学科/综合研究,20世纪初期英国画报的中国图像及跨文化传播研究,20 世纪 初期 英国 画报 中国 图像 跨文化 传播 研究,青年基金项目,李所期,广州大学,广东,东部,普通院校
2254,交叉学科/综合研究,生成式AI介入非财务信息操纵的多维测度、市场影响与监管对策研究,生成式 AI 介入 财务 信息 操纵 多维 测度 市场 影响 监管 对策 研究,青年基金项目,田勇刚,广州大学,广东,东部,普通院校
2255,交叉学科/综合研究,东西部协作赋能乡村基础教育数智化转型的机制与路径研究,东西部 协作 赋能 乡村 基础 教育 数智化 转型 机制 路径 研究,规划基金项目,王东,广州大学,广东,东部,普通院校
2256,交叉学科/综合研究,随机环境下水下机器人的性能保障与评估研究,随机 环境 下水 机器人 性能 保障 评估 研究,青年基金项目,余珮琳,广州大学,广东,东部,普通院校
2257,交叉学科/综合研究,生成式人工智能驱动的建筑室内设计艺术美学协同创新模式研究,生成式 人工 智能 驱动 建筑室 设计 艺术 美学 协同 创新 模式 研究,青年基金项目,陈俊铭,广州大学,广东,东部,普通院校
2258,交叉学科/综合研究,健康中国战略下不同运动方式促进大学生积极心理品质与睡眠质量的追踪研究,健康 中国 战略 不同 运动 方式 促进 大学生 积极 心理 品质 睡眠 质量 追踪 研究,青年基金项目,吴惠宇,广州工程技术职业学院,广东,东部,普通院校
2259,交叉学科/综合研究,公共视频监控的隐私权治理机制研究——技术、法律与社会的三维路径,公共 视频 监控 隐私权 治理 机制 研究 —— 技术 法律 社会 三维路,规划基金项目,MAALLA ALLAM,广州工商学院,广东,东部,普通院校
2260,交叉学科/综合研究,大规模因材施教背景下的可解释知识追踪研究：动态解耦与因果推理方法,大规模 因材施教 背景 解释 知识 追踪 研究 动态 解耦 因果 推理 方法,青年基金项目,李加伟,广州航海学院,广东,东部,普通院校
2261,交叉学科/综合研究,数字包容视域下老年健康信息贫困的循证机制与设计干预策略研究,数字 包容 视域 老年 健康 信息 贫困 循证 机制 设计 干预 策略 研究,规划基金项目,李宏,广州华商学院,广东,东部,普通院校
2262,交叉学科/综合研究,元宇宙场景下多模态康复评估与干预机制研究,元宇 宙场 景下 模态 康复 评估 干预 机制 研究,青年基金项目,张玲,广州科技贸易职业学院,广东,东部,普通院校
2263,交叉学科/综合研究,多源数据赋能粤港澳名镇名村的时空演变机制与场景建构研究,多源 数据 港澳 名镇 名村 时空 演变 机制 场景 建构 研究,青年基金项目,谢倩,广州美术学院,广东,东部,普通院校
2264,交叉学科/综合研究,低空场景下可信数据空间驱动智能协同治理研究,空场 景下 可信 数据 空间 驱动 智能 协同 治理 研究,规划基金项目,王政,广州南方学院,广东,东部,普通院校
2265,交叉学科/综合研究,朱白兰在华期间的文学创作与翻译实践研究,朱白兰 期间 文学 创作 翻译 实践 研究,规划基金项目,潘艳,广州商学院,广东,东部,普通院校
2266,交叉学科/综合研究,数字赋能青少年24小时活动行为与体质健康的动态关联模型构建与实证研究,数字 赋能 青少年 24 小时 活动 行为 体质 健康 动态 关联 模型 构建 实证 研究,规划基金项目,李宇星,广州体育学院,广东,东部,普通院校
2267,交叉学科/综合研究,新公共治理理论视域下癌症患者参与预立医疗照护计划的多主体协同研究,公共 治理 理论 视域 下癌症 患者 参与 预立 医疗 照护 计划 主体 协同 研究,规划基金项目,凌冬兰,广州医科大学,广东,东部,双一流
2268,交叉学科/综合研究,乡镇卫生院融入农村养老服务体系的路径和机制研究,乡镇 卫生院 融入 农村 养老 服务 体系 路径 机制 研究,规划基金项目,张彩霞,广州中医药大学,广东,东部,双一流
2269,交叉学科/综合研究,全域土地综合整治与生态修复协同推进防止规模性脱贫的长效机制研究,全域 土地 综合 整治 生态 修复 协同 推进 防止 规模性 脱贫 长效 机制 研究,规划基金项目,黄雪飞,贵州财经大学,贵州,西部,普通院校
2270,交叉学科/综合研究,基于多模态行为数据的高职院校学生画像构建与个性化学习路径动态推荐机制研究,基于 模态 行为 数据 高职 院校 学生 画像 构建 个性化 学习 路径 动态 推荐 机制 研究,青年基金项目,任丽娜,贵州轻工职业技术学院,贵州,西部,普通院校
2271,交叉学科/综合研究,数智融合驱动科技统计调查制度改革与创新研究,融合 驱动 科技 统计 调查 制度 改革 创新 研究,青年基金项目,吕卉,桂林理工大学,广西,西部,普通院校
2272,交叉学科/综合研究,低空经济背景下面向垂直起降飞行器eVtol座舱的多模态人机交互设计研究,低空 经济 背景 下面 垂直 起降 飞行器e Vtol 座舱 模态 人机 交互 设计 研究,规划基金项目,成沛瑶,哈尔滨工业大学,黑龙江,中部,双一流
2273,交叉学科/综合研究,织物触觉界面陪伴机器人改善儿童屏幕依赖症的具身情感交互设计研究,织物 触觉 界面 陪伴 机器人 改善 儿童 屏幕 依赖症 具身 情感 交互 设计 研究,青年基金项目,姜梦琦,哈尔滨工业大学,黑龙江,中部,双一流
2274,交叉学科/综合研究,数字时代背景下的青少年健康行为:社交媒体的作用机制与干预策略研究,数字 时代 背景 青少年 健康 行为 社交 媒体 作用 机制 干预 策略 研究,规划基金项目,张佳媛,哈尔滨医科大学,黑龙江,中部,普通院校
2275,交叉学科/综合研究,心理契约破裂视角下医生道德创伤多模态机制与双轨干预研究,心理 契约 破裂 角下 医生 道德 创伤 模态 机制 双轨 干预 研究,规划基金项目,王彧,哈尔滨医科大学,黑龙江,中部,普通院校
2276,交叉学科/综合研究,异地就医治理的场域重构:多元行动者博弈机制解构与动态协同路径研究,异地 就医 治理 场域 重构 多元 行动者 博弈 机制 解构 动态 协同 路径 研究,青年基金项目,张鑫,哈尔滨医科大学,黑龙江,中部,普通院校
2277,交叉学科/综合研究,公平视角下我国HPV疫苗接种政策的时空演进、决策机制及优化策略研究,公平 视角 我国 HPV 疫苗 接种 政策 时空 演进 决策 机制 优化 策略 研究,规划基金项目,张歆,哈尔滨医科大学,黑龙江,中部,普通院校
2278,交叉学科/综合研究,数智时代潮汕侨批档案与口述史料的记忆图谱建构研究,数智 时代 潮汕 侨批 档案 口述 史料 记忆 图谱 建构 研究,规划基金项目,曹亚明,韩山师范学院,广东,东部,普通院校
2279,交叉学科/综合研究,算法伦理级联效应的形成机制与阻断研究,算法 伦理 级联 效应 形成 机制 阻断 研究,规划基金项目,夏福斌,韩山师范学院,广东,东部,普通院校
2280,交叉学科/综合研究,面向学习障碍儿童积极学习体验的人智协作交互设计研究,面向 学习 障碍 儿童 积极 学习 体验 人智 协作 交互 设计 研究,青年基金项目,柳丽娟,杭州电子科技大学,浙江,东部,普通院校
2281,交叉学科/综合研究,高校大学生心理问题的多维度客观评价与预警方法研究,高校 大学生 心理 问题 多维度 客观 评价 预警 方法 研究,规划基金项目,张桦,杭州电子科技大学,浙江,东部,普通院校
2282,交叉学科/综合研究,教育卷入对家庭生育规模的影响:理论、实证与对策研究,教育 卷入 家庭 生育 规模 影响 理论 实证 对策 研究,青年基金项目,陆伟,杭州师范大学,浙江,东部,普通院校
2283,交叉学科/综合研究,轻度认知障碍老年人的阅读语境补偿机制损伤及其教育干预研究,轻度 认知 障碍 老年人 阅读 语境 补偿 机制 损伤 及其 教育 干预 研究,规划基金项目,刘志方,杭州师范大学,浙江,东部,普通院校
2284,交叉学科/综合研究,面向洪涝韧性提升的沿海城市气候适应基础设施动态优化路径研究,面向 涝韧性 提升 沿海 城市 气候 适应 基础 设施 动态 优化 路径 研究,青年基金项目,方佳毅,杭州师范大学,浙江,东部,普通院校
2285,交叉学科/综合研究,乳腺癌筛查中的过度诊断风险评估:微模拟模型构建与策略优化研究,乳腺 癌筛 查中 过度 诊断 风险 评估 微模拟 模型 构建 策略 优化 研究,青年基金项目,丁李路,杭州医学院,浙江,东部,普通院校
2286,交叉学科/综合研究,老龄化社会视域下欠发达地区高素质护理人才协同培养机制研究,老龄化 社会 视域 下欠 发达 地区 素质 护理 人才 协同 培养 机制 研究,规划基金项目,朱薇,杭州医学院,浙江,东部,普通院校
2287,交叉学科/综合研究,数字农服平台驱动农业低空技术扩散研究:结构洞识别、桥接机制与优化策略,数字 农服 平台 驱动 农业 低空 技术 扩散 研究 结构 洞识别 桥接 机制 优化 策略,青年基金项目,王颖,合肥大学,安徽,中部,普通院校
2288,交叉学科/综合研究,多模态感知与适童化建模:数智驱动的小学校园火灾疏散协同治理研究,模态 感知 适童化 建模 数智 驱动 小学 校园 火灾 疏散 协同 治理 研究,规划基金项目,王益,合肥工业大学,安徽,中部,双一流
2289,交叉学科/综合研究,AI驱动下国产互动剧创作与观众体验研究,AI 驱动 国产 互动剧 创作 观众 体验 研究,规划基金项目,高瑜,河北科技大学,河北,东部,普通院校
2290,交叉学科/综合研究,产后抑郁母亲的育儿自我效能感及其心智化干预研究,产后 抑郁 母亲 育儿 自我 效能 感及 心智化 干预 研究,规划基金项目,齐伟静,河北医科大学,河北,东部,普通院校
2291,交叉学科/综合研究,考虑风险分担的中哈跨境流域应急补水合作治理韧性评估与提升研究,考虑 风险 分担 中哈 跨境 流域 应急 补水 合作 治理 韧性 评估 提升 研究,规划基金项目,郭利丹,河海大学,江苏,东部,双一流
2292,交叉学科/综合研究,基于机理一强化学习双驱模型的期权对冲研究,基于 机理 一强化 学习 双驱 模型 期权 对冲 研究,规划基金项目,刘磊,河海大学,江苏,东部,双一流
2293,交叉学科/综合研究,数据流通安全风险识别与隐私保护方法研究,数据 流通 安全 风险 识别 隐私 保护 方法 研究,规划基金项目,张啸剑,河南财经政法大学,河南,中部,普通院校
2294,交叉学科/综合研究,“防抗救”一体化下“双老”社区应对地震灾害的运维韧性动态评估及提升决策优化研究,防抗 一体化 社区 应对 地震 灾害 运维 韧性 动态 评估 提升 决策 优化 研究,青年基金项目,聂伟,河南财经政法大学,河南,中部,普通院校
2295,交叉学科/综合研究,环境考古视角下郑州商城遗址水系研究,环境 考古 视角 郑州 商城 遗址 水系 研究,青年基金项目,秦臻,河南大学,河南,中部,双一流
2296,交叉学科/综合研究,陆上丝绸之路文化遗产赋能中华文明精神标识国际叙事研究,陆上 丝绸之路 文化 遗产 赋能 中华 文明 精神 标识 国际 叙事 研究,规划基金项目,姜国峰,河南工程学院,河南,中部,普通院校
2297,交叉学科/综合研究,教联体与数智技术双重驱动大中小学爱国主义教育一体化建设研究,联体 数智 技术 双重 驱动 大中 小学 爱国主义 教育 一体化 建设 研究,规划基金项目,张艳青,河南工程学院,河南,中部,普通院校
2298,交叉学科/综合研究,全面振兴战略下农村资源资产盘活质量评估与协同提升机制研究,全面 振兴 战略 农村 资源 资产 盘活 质量 评估 协同 提升 机制 研究,规划基金项目,刘涛,河南理工大学,河南,中部,普通院校
2299,交叉学科/综合研究,基于文化基因的古代洛阳皇家园林时空演变机制研究,基于 文化 基因 古代 洛阳 皇家 园林 时空 演变 机制 研究,青年基金项目,姚晓军,河南农业大学,河南,中部,普通院校
2300,交叉学科/综合研究,青年生育意愿的社交媒体呈现与引导策略研究,青年 生育 意愿 社交 媒体 呈现 引导 策略 研究,青年基金项目,郭璟璇,河南师范大学,河南,中部,普通院校
2301,交叉学科/综合研究,基于职业教育支持的农村低收入人口内生发展研究,基于 职业 教育 支持 农村 收入 人口 内生 发展 研究,青年基金项目,李强,河南师范大学,河南,中部,普通院校
2302,交叉学科/综合研究,网红目的地游客涌入的群体性旅游体验组织与地方因应研究,网红 目的地 游客 涌入 群体性 旅游 体验 组织 地方 因应 研究,青年基金项目,王丹平,河南师范大学,河南,中部,普通院校
2303,交叉学科/综合研究,基于售后配件需求预测的大型制造企业智能安全库存优化与决策研究,基于 售后 配件 需求 预测 大型 制造 企业 智能 安全 库存 优化 决策 研究,青年基金项目,何建樑,河南师范大学,河南,中部,普通院校
2304,交叉学科/综合研究,青少年睡眠质量影响认知灵活性的多模态机制及干预研究,青少年 睡眠 质量 影响 认知 灵活性 模态 机制 干预 研究,青年基金项目,王海恩,河南师范大学,河南,中部,普通院校
2305,交叉学科/综合研究,汉字型瑶字在海内外瑶族民间文献中的传承与流变研究,汉字型 瑶字 海内外 瑶族 民间 文献 传承 流变 研究,规划基金项目,贺娉婷,贺州学院,广西,西部,普通院校
2306,交叉学科/综合研究,资本驱动农业新质生产力发展的逻辑机理、现实困境与协同路径研究,资本 驱动 农业 新质 生产力 发展 逻辑 机理 现实 困境 协同 路径 研究,规划基金项目,吴月,衡阳师范学院,湖南,中部,普通院校
2307,交叉学科/综合研究,多元主体参与传统村落旅游共治的行动逻辑,多元 主体 参与 传统 村落 旅游 共治 行动 逻辑,规划基金项目,张家其,衡阳师范学院,湖南,中部,普通院校
2308,交叉学科/综合研究,老年人代谢疾病风险的社会经济影响与精准干预机制研究,老年人 代谢 疾病 风险 社会 经济 影响 精准 干预 机制 研究,青年基金项目,周亚慧,湖北大学,湖北,中部,普通院校
2309,交叉学科/综合研究,数智时代虚拟亲密关系对青年现实婚育意愿的影响路径及对策研究,数智 时代 虚拟 亲密 关系 青年 现实 婚育 意愿 影响 路径 对策 研究,规划基金项目,孙利,湖北第二师范学院,湖北,中部,普通院校
2310,交叉学科/综合研究,社会一生态网络分析视角下生物入侵协同治理机制研究,社会 生态 网络 分析 视角 生物 入侵 协同 治理 机制 研究,规划基金项目,王有宁,湖北工程学院,湖北,中部,普通院校
2311,交叉学科/综合研究,数智时代大学生发展焦虑的美育干预机制与纾解路径研究,数智 时代 大学生 发展 焦虑 美育 干预 机制 纾解 路径 研究,青年基金项目,颜佳玥,湖北工业大学工程技术学院,湖北,中部,普通院校
2312,交叉学科/综合研究,面向“高水平保护”的隐蔽性污染排放行为形成机理与数智化治理研究,面向 水平 保护 隐蔽性 污染 排放 行为 形成 机理 数智化 治理 研究,青年基金项目,唐文亮,湖北经济学院,湖北,中部,普通院校
2313,交叉学科/综合研究,基于多模态数据融合的万里茶道湖北段文化遗产数字化保护路径研究,基于 模态 数据 融合 万里 茶道 湖北 文化 遗产 数字化 保护 路径 研究,青年基金项目,肖璐,湖北民族大学,湖北,中部,普通院校
2314,交叉学科/综合研究,具身交互对青少年负性情绪游戏化认知重评的影响和机制研究,具身 交互 青少年 负性 情绪 游戏化 认知 重评 影响 机制 研究,青年基金项目,赖丽足,湖北中医药大学,湖北,中部,普通院校
2315,交叉学科/综合研究,短视频使用在老年认知轨迹中的“双刃剑”效应模型构建研究,视频 使用 老年 认知 轨迹 双刃剑 效应 模型 构建 研究,青年基金项目,祝鑫红,湖北中医药大学,湖北,中部,普通院校
2316,交叉学科/综合研究,生成式AI嵌入文旅数字化服务的隐私风险认知与持续使用意愿研究,生成式 AI嵌 入文 旅数 字化 服务 隐私 风险 认知 持续 使用 意愿 研究,规划基金项目,胡强盛,湖南财政经济学院,湖南,中部,普通院校
2317,交叉学科/综合研究,基于传统文化传承的乡村公共空间包容性环境构建研究,基于 传统 文化 传承 乡村 公共 空间 包容性 环境 构建 研究,规划基金项目,袁朝晖,湖南大学,湖南,中部,双一流
2318,交叉学科/综合研究,基于人工智能技术的页岩气预测与可持续发展评价研究,基于 人工 智能 技术 页岩气 预测 可持续 发展 评价 研究,规划基金项目,董莉,湖南工商大学,湖南,中部,普通院校
2319,交叉学科/综合研究,数字赋能湘赣边红色文化际传承的适老化发展机制研究,数字 赋能 赣边 红色 文化际 传承 适老化 发展 机制 研究,规划基金项目,王小康,湖南工业大学,湖南,中部,普通院校
2320,交叉学科/综合研究,社交网络跨境数据流动的隐私保护机制与主权协同治理研究,社交 网络 跨境 数据 流动 隐私 保护 机制 主权 协同 治理 研究,规划基金项目,张世文,湖南科技大学,湖南,中部,普通院校
2321,交叉学科/综合研究,多源异构数字足迹融合驱动低碳供应链融资的机理与策略研究,多源 异构 数字 足迹 融合 驱动 低碳 供应链 融资 机理 策略 研究,规划基金项目,刘侃莹,湖南农业大学,湖南,中部,普通院校
2322,交叉学科/综合研究,元明易代之际审美思潮嬗变研究,元明 易代 之际 审美 思潮 嬗变 研究,青年基金项目,韩旭,湖南女子学院,湖南,中部,普通院校
2323,交叉学科/综合研究,生成式AI背景下职业教育赋能中小企业数字化转型机理与实现路径研究,生成式 AI 背景 职业 教育 赋能 中小 企业 数字化 转型 机理 实现 路径 研究,规划基金项目,丁贵娥,湖南汽车工程职业大学,湖南,中部,普通院校
2324,交叉学科/综合研究,当前婚育困境的群己权界与支持策略研究,当前 婚育 困境 群己 权界 支持 策略 研究,规划基金项目,李风华,湖南师范大学,湖南,中部,双一流
2325,交叉学科/综合研究,人机共生视域下创造力行为表征的适应性引导研究,人机 共生 视域 创造力 行为 表征 适应性 引导 研究,青年基金项目,杜星,湖南师范大学,湖南,中部,双一流
2326,交叉学科/综合研究,生成式人工智能音乐创作的伦理与治理研究,生成式 人工 智能 音乐 创作 伦理 治理 研究,青年基金项目,彭琳琳,湖南师范大学,湖南,中部,双一流
2327,交叉学科/综合研究,数学焦虑影响青少年虚假信息辨识能力的认知神经机制及干预研究,数学 焦虑 影响 青少年 虚假 信息 辨识 能力 认知 神经 机制 干预 研究,规划基金项目,王超,湖州师范学院,浙江,东部,普通院校
2328,交叉学科/综合研究,都市圈跨城养老服务协同供给机制的优化路径研究,都市圈 跨城 养老 服务 协同 供给 机制 优化 路径 研究,青年基金项目,单学鹏,华北电力大学,北京,东部,双一流
2329,交叉学科/综合研究,卫河流域传统村落共生作用机理与发展路径研究,卫河 流域 传统 村落 共生 作用 机理 发展 路径 研究,规划基金项目,高长征,华北水利水电大学,河南,中部,普通院校
2330,交叉学科/综合研究,跨链数据共享视角下路桥隧智慧运维模式创新与效益动态评估研究,跨链 数据 享视 角下 路桥 智慧 运维 模式 创新 效益 动态 评估 研究,青年基金项目,章正新,华东交通大学,江西,中部,普通院校
2331,交叉学科/综合研究,联合扩散模型与专家经验的数字胶片档案修复方法研究,联合 扩散 模型 专家 经验 数字 胶片 档案 修复 方法 研究,规划基金项目,王辉,华东交通大学,江西,中部,普通院校
2332,交叉学科/综合研究,青少年健康导向的中小学教室低碳光环境协同优化设计研究,青少年 健康 导向 中小学 教室 碳光 环境 协同 优化 设计 研究,规划基金项目,尹舜,华东理工大学,上海,东部,双一流
2333,交叉学科/综合研究,基于脑电微状态分析的青少年自伤行为的情绪调节机制及本土化干预策略,基于 脑电微 状态 分析 青少年 自伤 行为 情绪 调节 机制 本土化 干预 策略,规划基金项目,龚靖波,华东师范大学,上海,东部,双一流
2334,交叉学科/综合研究,集体沸腾视角下Z世代青年的集群行为参与：动机前因、心理机制及多层次后效,集体 沸腾 视角 下Z 世代 青年 集群 行为 参与 动机 心理 机制 层次 后效,规划基金项目,姚琦,华东师范大学,上海,东部,双一流
2335,交叉学科/综合研究,中国古典园林意境营造的审美维度研究,中国 古典 园林 意境 营造 审美 维度 研究,规划基金项目,唐孝祥,华南理工大学,广东,东部,双一流
2336,交叉学科/综合研究,老旧街区更新背景下城市新商业空间的形成机理与效应研究,老旧 街区 更新 背景 城市 商业 空间 形成 机理 效应 研究,青年基金项目,黄幸,华南理工大学,广东,东部,双一流
2337,交叉学科/综合研究,老年认知衰退评估及干预场景设计研究,老年 认知 衰退 评估 干预 场景 设计 研究,青年基金项目,廖丹,华南理工大学,广东,东部,双一流
